task_family,item_id,gold_answer,option_label,option_text,option_role,control_type,relation_to_target,gold_answer_text
indirect_geoeconomic_intent,indirect_geoeconomic_intent_03,D,C,"Signal that foreign investors in logistics assets should expect more extensive disclosure, reporting, and procedural review before approval, even where the overall investment climate remains open",control,procedural_or_technical_control,distractor,Preserve a pro-investment posture while retaining case-by-case discretion over whether strategically sensitive assets receive approval
indirect_geoeconomic_intent,indirect_geoeconomic_intent_03,D,D,Preserve a pro-investment posture while retaining case-by-case discretion over whether strategically sensitive assets receive approval,target,target,gold_answer,Preserve a pro-investment posture while retaining case-by-case discretion over whether strategically sensitive assets receive approval
indirect_geoeconomic_intent,indirect_geoeconomic_intent_04,A,A,That domestic manufacturers may face unstable access to an essential raw material they need for production,target,target,gold_answer,That domestic manufacturers may face unstable access to an essential raw material they need for production
indirect_geoeconomic_intent,indirect_geoeconomic_intent_04,A,B,That the government is trying to gain bargaining leverage over foreign buyers by controlling the pace of exports in a strategically sensitive input market,control,adjacent_pragmatic_force_control,distractor,That domestic manufacturers may face unstable access to an essential raw material they need for production
indirect_geoeconomic_intent,indirect_geoeconomic_intent_04,A,C,That policymakers want to encourage a shift away from raw-material export dependence and toward higher-value downstream processing,control,adjacent_pragmatic_force_control,distractor,That domestic manufacturers may face unstable access to an essential raw material they need for production
indirect_geoeconomic_intent,indirect_geoeconomic_intent_04,A,D,That unpredictable export restrictions could damage the country’s reputation as a reliable supplier in global mineral markets,control,adjacent_pragmatic_force_control,distractor,That domestic manufacturers may face unstable access to an essential raw material they need for production
indirect_geoeconomic_intent,indirect_geoeconomic_intent_05,B,A,That the priority is to increase competition by making it easier for low-cost vendors to enter quickly,control,adjacent_pragmatic_force_control,distractor,That long-term dependence on hard-to-reverse foreign infrastructure arrangements could create strategic vulnerability
indirect_geoeconomic_intent,indirect_geoeconomic_intent_05,B,B,That long-term dependence on hard-to-reverse foreign infrastructure arrangements could create strategic vulnerability,target,target,gold_answer,That long-term dependence on hard-to-reverse foreign infrastructure arrangements could create strategic vulnerability
indirect_geoeconomic_intent,indirect_geoeconomic_intent_05,B,C,That future upgrades and follow-on contracts should not leave domestic operators with too little room to negotiate or compete once core systems are embedded,control,adjacent_pragmatic_force_control,distractor,That long-term dependence on hard-to-reverse foreign infrastructure arrangements could create strategic vulnerability
indirect_geoeconomic_intent,indirect_geoeconomic_intent_05,B,D,"That strategically sensitive cross-border data flows may need tighter routing, access, or continuity controls during periods of elevated risk",control,adjacent_pragmatic_force_control,distractor,That long-term dependence on hard-to-reverse foreign infrastructure arrangements could create strategic vulnerability
indirect_geoeconomic_intent,indirect_geoeconomic_intent_06,D,A,That the government wants stronger leverage to negotiate more stable long-term prices from foreign suppliers of critical pharmaceutical inputs,control,adjacent_pragmatic_force_control,distractor,That excessive dependence on external sources of essential inputs could endanger continuity of basic medical supply
indirect_geoeconomic_intent,indirect_geoeconomic_intent_06,D,B,That policymakers want to shift the sector toward higher-value domestic pharmaceutical processing rather than continued reliance on imported ingredients,control,adjacent_pragmatic_force_control,distractor,That excessive dependence on external sources of essential inputs could endanger continuity of basic medical supply
indirect_geoeconomic_intent,indirect_geoeconomic_intent_06,D,C,That short-run resilience depends mainly on preserving the ability to scale up emergency imports of finished medicines during external shocks,control,adjacent_pragmatic_force_control,distractor,That excessive dependence on external sources of essential inputs could endanger continuity of basic medical supply
indirect_geoeconomic_intent,indirect_geoeconomic_intent_06,D,D,That excessive dependence on external sources of essential inputs could endanger continuity of basic medical supply,target,target,gold_answer,That excessive dependence on external sources of essential inputs could endanger continuity of basic medical supply
indirect_geoeconomic_intent,indirect_geoeconomic_intent_07,C,A,Increase reliance on one large supplier in exchange for more favorable spot prices,control,adjacent_pragmatic_force_control,distractor,Reduce the risk that reliance on one outside supplier could be used for political or commercial pressure
indirect_geoeconomic_intent,indirect_geoeconomic_intent_07,C,B,Build additional flexibility into procurement and storage planning so that temporary external shortages do not sharply weaken the government’s negotiating position,control,adjacent_pragmatic_force_control,distractor,Reduce the risk that reliance on one outside supplier could be used for political or commercial pressure
indirect_geoeconomic_intent,indirect_geoeconomic_intent_07,C,C,Reduce the risk that reliance on one outside supplier could be used for political or commercial pressure,target,target,gold_answer,Reduce the risk that reliance on one outside supplier could be used for political or commercial pressure
indirect_geoeconomic_intent,indirect_geoeconomic_intent_07,C,D,"Reduce exposure to imported energy by accelerating substitution where feasible, even if this raises short-term costs",control,adjacent_pragmatic_force_control,distractor,Reduce the risk that reliance on one outside supplier could be used for political or commercial pressure
indirect_geoeconomic_intent,indirect_geoeconomic_intent_08,A,A,That digital public services may become strategically fragile if critical systems are hosted under external legal or technical control,target,target,gold_answer,That digital public services may become strategically fragile if critical systems are hosted under external legal or technical control
indirect_geoeconomic_intent,indirect_geoeconomic_intent_08,A,B,"That procurement standards should give public agencies stronger leverage to demand clearer recovery, audit, and data-access guarantees from major cloud vendors",control,adjacent_pragmatic_force_control,distractor,That digital public services may become strategically fragile if critical systems are hosted under external legal or technical control
indirect_geoeconomic_intent,indirect_geoeconomic_intent_08,A,C,That procurement can be used to strengthen longer-term domestic public-sector digital capability and reduce habitual dependence on externally governed infrastructure,control,adjacent_pragmatic_force_control,distractor,That digital public services may become strategically fragile if critical systems are hosted under external legal or technical control
indirect_geoeconomic_intent,indirect_geoeconomic_intent_08,A,D,"That public cloud contracts should contain stronger continuity, recovery, and portability safeguards for periods of cross-border legal or regulatory conflict",control,adjacent_pragmatic_force_control,distractor,That digital public services may become strategically fragile if critical systems are hosted under external legal or technical control
indirect_geoeconomic_intent,indirect_geoeconomic_intent_09,D,A,Use reserve policy mainly to reduce domestic food-price volatility during periods of global grain market stress,control,adjacent_pragmatic_force_control,distractor,Preserve openness while building buffer capacity against externally generated supply disruptions in essential food markets
indirect_geoeconomic_intent,indirect_geoeconomic_intent_09,D,B,Reduce reliance on emergency spot purchases by securing more predictable access to imported grain during external disruptions,control,adjacent_pragmatic_force_control,distractor,Preserve openness while building buffer capacity against externally generated supply disruptions in essential food markets
indirect_geoeconomic_intent,indirect_geoeconomic_intent_09,D,C,Reduce longer-term food-security risk by lowering structural dependence on imported feed and grain-intensive consumption during prolonged external disruption,control,adjacent_pragmatic_force_control,distractor,Preserve openness while building buffer capacity against externally generated supply disruptions in essential food markets
indirect_geoeconomic_intent,indirect_geoeconomic_intent_09,D,D,Preserve openness while building buffer capacity against externally generated supply disruptions in essential food markets,target,target,gold_answer,Preserve openness while building buffer capacity against externally generated supply disruptions in essential food markets
indirect_geoeconomic_intent,indirect_geoeconomic_intent_10,C,A,"That screening should ensure joint ventures preserve domestic influence over upgrade sequencing, technology transfer, and future investment commitments in strategically important technologies",control,adjacent_pragmatic_force_control,distractor,That crucial technological progress should not become fully dependent on actors outside domestic policy influence
indirect_geoeconomic_intent,indirect_geoeconomic_intent_10,C,B,That semiconductor policy should place greater emphasis on building domestic commercial and managerial capability alongside technical collaboration,control,procedural_or_technical_control,distractor,That crucial technological progress should not become fully dependent on actors outside domestic policy influence
indirect_geoeconomic_intent,indirect_geoeconomic_intent_10,C,C,That crucial technological progress should not become fully dependent on actors outside domestic policy influence,target,target,gold_answer,That crucial technological progress should not become fully dependent on actors outside domestic policy influence
indirect_geoeconomic_intent,indirect_geoeconomic_intent_10,C,D,That semiconductor strategy should tolerate deeper reliance on external design ecosystems so long as partnership inflows remain strong,control,adjacent_pragmatic_force_control,distractor,That crucial technological progress should not become fully dependent on actors outside domestic policy influence
strategic_ambiguity,strategic_ambiguity_01,B,A,To reassure foreign investors that the existing framework is unlikely to change in substance,control,adjacent_pragmatic_force_control,distractor,To frame the issue as one of protecting national capabilities while leaving open the possibility of tighter screening later
strategic_ambiguity,strategic_ambiguity_01,B,B,To frame the issue as one of protecting national capabilities while leaving open the possibility of tighter screening later,target,target,gold_answer,To frame the issue as one of protecting national capabilities while leaving open the possibility of tighter screening later
strategic_ambiguity,strategic_ambiguity_01,B,C,To suggest that the current framework may face closer scrutiny because of emerging strategic vulnerabilities,control,adjacent_pragmatic_force_control,distractor,To frame the issue as one of protecting national capabilities while leaving open the possibility of tighter screening later
strategic_ambiguity,strategic_ambiguity_01,B,D,To imply that any future tightening would likely be targeted at especially sensitive sectors rather than applied broadly,control,adjacent_pragmatic_force_control,distractor,To frame the issue as one of protecting national capabilities while leaving open the possibility of tighter screening later
strategic_ambiguity,strategic_ambiguity_02,A,A,To project resolve while preserving flexibility over the form and timing of any response,target,target,gold_answer,To project resolve while preserving flexibility over the form and timing of any response
strategic_ambiguity,strategic_ambiguity_02,A,B,To portray any eventual response as protective of national interests rather than openly punitive,control,escalated_or_overstated_control,distractor,To project resolve while preserving flexibility over the form and timing of any response
strategic_ambiguity,strategic_ambiguity_02,A,C,To suggest that retaliation has now become more likely than continued negotiation,control,escalated_or_overstated_control,distractor,To project resolve while preserving flexibility over the form and timing of any response
strategic_ambiguity,strategic_ambiguity_02,A,D,To imply that specific sector-based countermeasures have already been chosen internally,control,escalated_or_overstated_control,distractor,To project resolve while preserving flexibility over the form and timing of any response
strategic_ambiguity,strategic_ambiguity_03,B,A,To make any future diversification appear compatible with preserving workable ties to the current supplier,control,adjacent_pragmatic_force_control,distractor,"To keep resilience, affordability, and existing partnerships all in play without revealing which priority will ultimately drive supplier policy"
strategic_ambiguity,strategic_ambiguity_03,B,B,"To keep resilience, affordability, and existing partnerships all in play without revealing which priority will ultimately drive supplier policy",target,target,gold_answer,"To keep resilience, affordability, and existing partnerships all in play without revealing which priority will ultimately drive supplier policy"
strategic_ambiguity,strategic_ambiguity_03,B,C,To justify continued dependence on the current supplier mainly on affordability grounds,control,adjacent_pragmatic_force_control,distractor,"To keep resilience, affordability, and existing partnerships all in play without revealing which priority will ultimately drive supplier policy"
strategic_ambiguity,strategic_ambiguity_03,B,D,To suggest that a timetable for replacing the supplier already exists but has not yet been disclosed,control,escalated_or_overstated_control,distractor,"To keep resilience, affordability, and existing partnerships all in play without revealing which priority will ultimately drive supplier policy"
strategic_ambiguity,strategic_ambiguity_04,D,A,To signal that the government is monitoring pressure on strategically important sectors without promising any immediate support,control,escalated_or_overstated_control,distractor,"To shift the discussion from a direct yes-or-no answer on emergency aid toward broad evolving market conditions, thereby avoiding a concrete commitment"
strategic_ambiguity,strategic_ambiguity_04,D,B,To leave open the possibility that targeted assistance could be considered later if import pressure worsens significantly,control,adjacent_pragmatic_force_control,distractor,"To shift the discussion from a direct yes-or-no answer on emergency aid toward broad evolving market conditions, thereby avoiding a concrete commitment"
strategic_ambiguity,strategic_ambiguity_04,D,C,To imply that ordinary policy tools may still be viewed as sufficient for the moment,control,adjacent_pragmatic_force_control,distractor,"To shift the discussion from a direct yes-or-no answer on emergency aid toward broad evolving market conditions, thereby avoiding a concrete commitment"
strategic_ambiguity,strategic_ambiguity_04,D,D,"To shift the discussion from a direct yes-or-no answer on emergency aid toward broad evolving market conditions, thereby avoiding a concrete commitment",target,target,gold_answer,"To shift the discussion from a direct yes-or-no answer on emergency aid toward broad evolving market conditions, thereby avoiding a concrete commitment"
strategic_ambiguity,strategic_ambiguity_05,B,A,"To signal that participation remains under consideration, but only if it can be aligned with domestic economic priorities",control,adjacent_pragmatic_force_control,distractor,To preserve room across competing economic alignments by avoiding a commitment that could alienate either current or potential partners
strategic_ambiguity,strategic_ambiguity_05,B,B,To preserve room across competing economic alignments by avoiding a commitment that could alienate either current or potential partners,target,target,gold_answer,To preserve room across competing economic alignments by avoiding a commitment that could alienate either current or potential partners
strategic_ambiguity,strategic_ambiguity_05,B,C,To suggest that participation is unlikely unless the bloc offers substantially more favorable terms,control,adjacent_pragmatic_force_control,distractor,To preserve room across competing economic alignments by avoiding a commitment that could alienate either current or potential partners
strategic_ambiguity,strategic_ambiguity_05,B,D,To imply that the government has already moved the issue into an advanced internal decision phase without saying so directly,control,escalated_or_overstated_control,distractor,To preserve room across competing economic alignments by avoiding a commitment that could alienate either current or potential partners
strategic_ambiguity,strategic_ambiguity_06,C,A,To suggest that openness to commerce will remain the default position unless specific security concerns justify narrower restrictions,control,adjacent_pragmatic_force_control,distractor,To shift the discussion to broad governing principles while leaving any specific future restrictions undefined
strategic_ambiguity,strategic_ambiguity_06,C,B,To reassure commercial actors that any safeguards under consideration would be limited rather than broadly exclusionary,control,adjacent_pragmatic_force_control,distractor,To shift the discussion to broad governing principles while leaving any specific future restrictions undefined
strategic_ambiguity,strategic_ambiguity_06,C,C,To shift the discussion to broad governing principles while leaving any specific future restrictions undefined,target,target,gold_answer,To shift the discussion to broad governing principles while leaving any specific future restrictions undefined
strategic_ambiguity,strategic_ambiguity_06,C,D,To imply that the government is already moving toward a more selective screening approach for certain operators without specifying who they are,control,escalated_or_overstated_control,distractor,To shift the discussion to broad governing principles while leaving any specific future restrictions undefined
strategic_ambiguity,strategic_ambiguity_07,B,A,To suggest that any near-term licensing changes would likely be gradual rather than immediate or sweeping,control,escalated_or_overstated_control,distractor,"To frame possible future tightening as a security-based policy choice without specifying which products, firms, or thresholds could trigger it"
strategic_ambiguity,strategic_ambiguity_07,B,B,"To frame possible future tightening as a security-based policy choice without specifying which products, firms, or thresholds could trigger it",target,target,gold_answer,"To frame possible future tightening as a security-based policy choice without specifying which products, firms, or thresholds could trigger it"
strategic_ambiguity,strategic_ambiguity_07,B,C,To imply that any future licensing adjustments would be calibrated in coordination with trusted partners rather than driven by unilateral commercial considerations,control,procedural_or_technical_control,distractor,"To frame possible future tightening as a security-based policy choice without specifying which products, firms, or thresholds could trigger it"
strategic_ambiguity,strategic_ambiguity_07,B,D,To indicate that future licensing decisions may rely more heavily on case-by-case scrutiny of selected actors without committing to a defined control mechanism,control,adjacent_pragmatic_force_control,distractor,"To frame possible future tightening as a security-based policy choice without specifying which products, firms, or thresholds could trigger it"
strategic_ambiguity,strategic_ambiguity_08,C,A,To suggest that vendor eligibility will continue to depend mainly on technical performance rather than geopolitical considerations,control,procedural_or_technical_control,distractor,To recast a potentially geopolitical exclusion decision as a standards-based evaluation without specifying which firms or criteria might trigger exclusion
strategic_ambiguity,strategic_ambiguity_08,C,B,To imply that a confidential list of disfavored vendors has already been prepared for the next tender round,control,escalated_or_overstated_control,distractor,To recast a potentially geopolitical exclusion decision as a standards-based evaluation without specifying which firms or criteria might trigger exclusion
strategic_ambiguity,strategic_ambiguity_08,C,C,To recast a potentially geopolitical exclusion decision as a standards-based evaluation without specifying which firms or criteria might trigger exclusion,target,target,gold_answer,To recast a potentially geopolitical exclusion decision as a standards-based evaluation without specifying which firms or criteria might trigger exclusion
strategic_ambiguity,strategic_ambiguity_08,C,D,To reassure market participants that any future restrictions would likely be limited to the most security-sensitive contracts rather than applied broadly,control,adjacent_pragmatic_force_control,distractor,To recast a potentially geopolitical exclusion decision as a standards-based evaluation without specifying which firms or criteria might trigger exclusion
strategic_ambiguity,strategic_ambiguity_09,A,A,To hint at contingency planning for alternative settlement channels without openly declaring a shift away from the current route,target,target,gold_answer,To hint at contingency planning for alternative settlement channels without openly declaring a shift away from the current route
strategic_ambiguity,strategic_ambiguity_09,A,B,To signal that financial continuity is the government’s primary concern rather than any deliberate shift in geopolitical alignment,control,adjacent_pragmatic_force_control,distractor,To hint at contingency planning for alternative settlement channels without openly declaring a shift away from the current route
strategic_ambiguity,strategic_ambiguity_09,A,C,To suggest that any adaptation would be pursued through multilateral coordination rather than a unilateral departure from the current settlement route,control,adjacent_pragmatic_force_control,distractor,To hint at contingency planning for alternative settlement channels without openly declaring a shift away from the current route
strategic_ambiguity,strategic_ambiguity_09,A,D,To avoid publicly assigning responsibility for the vulnerability to any specific external actor while keeping the discussion at a general institutional level,control,adjacent_pragmatic_force_control,distractor,To hint at contingency planning for alternative settlement channels without openly declaring a shift away from the current route
strategic_ambiguity,strategic_ambiguity_10,B,A,To reassure domestic markets that any adjustment in grain sourcing would be guided by supply stability rather than abrupt political retaliation,control,adjacent_pragmatic_force_control,distractor,To justify possible diversification away from the supplier without openly committing to an immediate reduction in imports
strategic_ambiguity,strategic_ambiguity_10,B,B,To justify possible diversification away from the supplier without openly committing to an immediate reduction in imports,target,target,gold_answer,To justify possible diversification away from the supplier without openly committing to an immediate reduction in imports
strategic_ambiguity,strategic_ambiguity_10,B,C,To signal that the government is already in advanced talks with alternative suppliers to replace the current import arrangement,control,escalated_or_overstated_control,distractor,To justify possible diversification away from the supplier without openly committing to an immediate reduction in imports
strategic_ambiguity,strategic_ambiguity_10,B,D,To imply that import volumes will be reduced gradually rather than through any immediate or publicly announced policy shift,control,escalated_or_overstated_control,distractor,To justify possible diversification away from the supplier without openly committing to an immediate reduction in imports
implicit_directive_with_pressure,implicit_directive_with_pressure_01,B,A,A neutral reminder about routine licensing timelines,control,procedural_or_technical_control,distractor,A softened instruction backed by procedural pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_01,B,B,A softened instruction backed by procedural pressure,target,target,gold_answer,A softened instruction backed by procedural pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_01,B,C,A diplomatic warning about future consequences without telling firms what to do,control,adjacent_pragmatic_force_control,distractor,A softened instruction backed by procedural pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_01,B,D,A reassurance that different sourcing plans will be treated the same,control,literal_or_sincere_control,distractor,A softened instruction backed by procedural pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_02,D,A,A friendly reassurance meant only to reduce exporter anxiety,control,literal_or_sincere_control,distractor,A pressure-backed nudge toward the recommended procedure
implicit_directive_with_pressure,implicit_directive_with_pressure_02,D,B,A purely descriptive note about how documents are processed,control,procedural_or_technical_control,distractor,A pressure-backed nudge toward the recommended procedure
implicit_directive_with_pressure,implicit_directive_with_pressure_02,D,C,A vague statement with no real push toward any behavior,control,adjacent_pragmatic_force_control,distractor,A pressure-backed nudge toward the recommended procedure
implicit_directive_with_pressure,implicit_directive_with_pressure_02,D,D,A pressure-backed nudge toward the recommended procedure,target,target,gold_answer,A pressure-backed nudge toward the recommended procedure
implicit_directive_with_pressure,implicit_directive_with_pressure_03,A,A,A straightforward administrative communication,target,target,gold_answer,A straightforward administrative communication
implicit_directive_with_pressure,implicit_directive_with_pressure_03,A,B,A softened effort to steer firms toward compliance,control,adjacent_pragmatic_force_control,distractor,A straightforward administrative communication
implicit_directive_with_pressure,implicit_directive_with_pressure_03,A,C,A diplomatic signal that firms may face sanctions,control,adjacent_pragmatic_force_control,distractor,A straightforward administrative communication
implicit_directive_with_pressure,implicit_directive_with_pressure_03,A,D,A cooperative message masking an unstated competitive threat,control,adjacent_pragmatic_force_control,distractor,A straightforward administrative communication
implicit_directive_with_pressure,implicit_directive_with_pressure_04,C,A,A reassurance that corridor access decisions are fully neutral,control,literal_or_sincere_control,distractor,A softened directive tied to favorable review
implicit_directive_with_pressure,implicit_directive_with_pressure_04,C,B,A clarification of how the corridor system is geographically organized,control,adjacent_pragmatic_force_control,distractor,A softened directive tied to favorable review
implicit_directive_with_pressure,implicit_directive_with_pressure_04,C,C,A softened directive tied to favorable review,target,target,gold_answer,A softened directive tied to favorable review
implicit_directive_with_pressure,implicit_directive_with_pressure_04,C,D,A warning about retaliation without a suggested course of action,control,adjacent_pragmatic_force_control,distractor,A softened directive tied to favorable review
implicit_directive_with_pressure,implicit_directive_with_pressure_05,B,A,A routine clarification about how partnership disclosures are filed,control,procedural_or_technical_control,distractor,A softened instruction tied to process advantage
implicit_directive_with_pressure,implicit_directive_with_pressure_05,B,B,A softened instruction tied to process advantage,target,target,gold_answer,A softened instruction tied to process advantage
implicit_directive_with_pressure,implicit_directive_with_pressure_05,B,C,A diplomatic warning about future penalties without directing conduct,control,escalated_or_overstated_control,distractor,A softened instruction tied to process advantage
implicit_directive_with_pressure,implicit_directive_with_pressure_05,B,D,A reassurance that current partnership disclosures are already satisfactory,control,literal_or_sincere_control,distractor,A softened instruction tied to process advantage
implicit_directive_with_pressure,implicit_directive_with_pressure_06,D,A,A neutral note about how the review software sorts files,control,procedural_or_technical_control,distractor,A softened push toward compliance backed by review pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_06,D,B,A reassurance that all proposal formats are equally welcome,control,literal_or_sincere_control,distractor,A softened push toward compliance backed by review pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_06,D,C,A vague formulation that avoids signaling any real preference,control,adjacent_pragmatic_force_control,distractor,A softened push toward compliance backed by review pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_06,D,D,A softened push toward compliance backed by review pressure,target,target,gold_answer,A softened push toward compliance backed by review pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_07,A,A,Genuine cooperative reassurance,target,target,gold_answer,Genuine cooperative reassurance
implicit_directive_with_pressure,implicit_directive_with_pressure_07,A,B,A subtle attempt to push counterparts toward policy alignment,control,adjacent_pragmatic_force_control,distractor,Genuine cooperative reassurance
implicit_directive_with_pressure,implicit_directive_with_pressure_07,A,C,A warning that relations may worsen without concessions,control,adjacent_pragmatic_force_control,distractor,Genuine cooperative reassurance
implicit_directive_with_pressure,implicit_directive_with_pressure_07,A,D,A notice about upcoming implementation deadlines,control,adjacent_pragmatic_force_control,distractor,Genuine cooperative reassurance
implicit_directive_with_pressure,implicit_directive_with_pressure_08,C,A,A historical reference to last quarter's guidance memo,control,adjacent_pragmatic_force_control,distractor,A softened instruction reinforced by selection pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_08,C,B,A reassurance that current sourcing plans are already acceptable,control,literal_or_sincere_control,distractor,A softened instruction reinforced by selection pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_08,C,C,A softened instruction reinforced by selection pressure,target,target,gold_answer,A softened instruction reinforced by selection pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_08,C,D,A vague signal with no real behavioral push,control,adjacent_pragmatic_force_control,distractor,A softened instruction reinforced by selection pressure
implicit_directive_with_pressure,implicit_directive_with_pressure_09,D,A,A pressure-backed attempt to redirect operator behavior,control,adjacent_pragmatic_force_control,distractor,A straightforward operational notice
implicit_directive_with_pressure,implicit_directive_with_pressure_09,D,B,A diplomatic warning aimed at foreign shipping firms,control,adjacent_pragmatic_force_control,distractor,A straightforward operational notice
implicit_directive_with_pressure,implicit_directive_with_pressure_09,D,C,A cooperative reassurance meant to soften hidden pressure,control,literal_or_sincere_control,distractor,A straightforward operational notice
implicit_directive_with_pressure,implicit_directive_with_pressure_09,D,D,A straightforward operational notice,target,target,gold_answer,A straightforward operational notice
implicit_directive_with_pressure,implicit_directive_with_pressure_10,B,A,A reassurance that authorization will proceed automatically,control,literal_or_sincere_control,distractor,A softened instruction tied to a smoother approval process
implicit_directive_with_pressure,implicit_directive_with_pressure_10,B,B,A softened instruction tied to a smoother approval process,target,target,gold_answer,A softened instruction tied to a smoother approval process
implicit_directive_with_pressure,implicit_directive_with_pressure_10,B,C,A note about where the ministry's guidance can be found,control,adjacent_pragmatic_force_control,distractor,A softened instruction tied to a smoother approval process
implicit_directive_with_pressure,implicit_directive_with_pressure_10,B,D,A warning about punishment that offers no behavioral nudge,control,adjacent_pragmatic_force_control,distractor,A softened instruction tied to a smoother approval process
implicit_strategic_warning,implicit_strategic_warning_01,B,A,Partners that maintain current ties will face immediate penalties.,control,escalated_or_overstated_control,distractor,Partners are being gently advised to reconsider ties before regulatory consequences widen.
implicit_strategic_warning,implicit_strategic_warning_01,B,B,Partners are being gently advised to reconsider ties before regulatory consequences widen.,target,target,gold_answer,Partners are being gently advised to reconsider ties before regulatory consequences widen.
implicit_strategic_warning,implicit_strategic_warning_01,B,C,Partners are mainly being cautioned about reputational discomfort from public association.,control,adjacent_pragmatic_force_control,distractor,Partners are being gently advised to reconsider ties before regulatory consequences widen.
implicit_strategic_warning,implicit_strategic_warning_01,B,D,"The statement is simply offering routine, neutral advice about prudent international operations.",control,literal_or_sincere_control,distractor,Partners are being gently advised to reconsider ties before regulatory consequences widen.
implicit_strategic_warning,implicit_strategic_warning_02,C,A,Member firms are being warned that transactions in these categories may soon invite immediate formal restrictions.,control,escalated_or_overstated_control,distractor,Member firms are being warned that scrutiny around sensitive transactions is increasing.
implicit_strategic_warning,implicit_strategic_warning_02,C,B,Member firms are being cautioned that public association with such transactions may become reputationally uncomfortable.,control,adjacent_pragmatic_force_control,distractor,Member firms are being warned that scrutiny around sensitive transactions is increasing.
implicit_strategic_warning,implicit_strategic_warning_02,C,C,Member firms are being warned that scrutiny around sensitive transactions is increasing.,target,target,gold_answer,Member firms are being warned that scrutiny around sensitive transactions is increasing.
implicit_strategic_warning,implicit_strategic_warning_02,C,D,"Member firms are being encouraged to strengthen internal review practices as a matter of prudent governance, not because the external scrutiny environment is materially changing.",control,adjacent_pragmatic_force_control,distractor,Member firms are being warned that scrutiny around sensitive transactions is increasing.
implicit_strategic_warning,implicit_strategic_warning_03,A,A,"Companies are being warned that access to advanced-node inputs may become less predictable, so long-term planning should not rely on continuity.",target,target,gold_answer,"Companies are being warned that access to advanced-node inputs may become less predictable, so long-term planning should not rely on continuity."
implicit_strategic_warning,implicit_strategic_warning_03,A,B,Companies are being warned that purchases of advanced-node inputs will soon be completely prohibited.,control,adjacent_pragmatic_force_control,distractor,"Companies are being warned that access to advanced-node inputs may become less predictable, so long-term planning should not rely on continuity."
